name,category,sub_category,brand,price_bdt,processor,generation,ram_gb,storage,gpu,gpu_memory,display_inch,battery_mah,camera_mp,url,shop,popularity
Acer Predator Helios Neo 16S AI PHN16S-71-73W,laptop,gaming_laptop,Acer,279900,Core Ultra 7,Ultra,16,1TB SSD,Nvidia RTX 5060 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Swift Go 14 SFG14-73 Series 1,laptop,laptop,Acer,146000,Core Ultra 7,Ultra,16,1TB SSD,Intel Arc Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Swift Go 14 SFG14-73 Series 1,laptop,laptop,Acer,148000,Core Ultra 7,Ultra,16,1TB SSD,Intel Arc Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Swift Lite SFL14-54M Series 1,laptop,laptop,Acer,107000,Core Ultra 5,Ultra,16,512GB SSD,Intel Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer TravelLite TL14-52M-i3,laptop,laptop,Acer,61000,Core i3,13th (Intel),8,512GB SSD,Intel UHD Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer TravelLite TL14-52M-i5,laptop,laptop,Acer,83000,Core i5,13th (Intel),8,512GB SSD,Intel Iris Xe Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer TravelLite TL24-53M Series 1,laptop,laptop,Acer,118000,Core 7,Core Series 1,16,512GB SSD,Intel Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer TravelMate P214-54,laptop,laptop,Acer,54900,Core i3,12th (Intel),8,512GB SSD,Intel UHD Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer TravelMate P6 TMP-614-53,laptop,laptop,Acer,120000,Core i5,13th (Intel),16,1TB SSD,Intel Iris Xe Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Apple MacBook Air,laptop,lightweight_laptop,Apple,151900,Apple M5,M Series,16,512GB SSD,Apple 8-Core GPU,Shared,13.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Apple MacBook Air,laptop,lightweight_laptop,Apple,184000,Apple M5,M Series,16,512GB SSD,Apple 10-Core GPU,Shared,15.3,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Apple MacBook Air,laptop,lightweight_laptop,Apple,184000,Apple M5,M Series,16,1TB SSD,Apple 10-Core GPU,Shared,13.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Apple MacBook Air,laptop,lightweight_laptop,Apple,209000,Apple M5,M Series,24,1TB SSD,Apple 10-Core GPU,Shared,13.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Apple MacBook Air,laptop,lightweight_laptop,Apple,211000,Apple M5,M Series,16,1TB SSD,Apple 10-core GPU,Shared,15.3,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Apple MacBook Air,laptop,lightweight_laptop,Apple,225000,Apple M4,M Series,24,512GB SSD,Apple 10-core GPU,Shared,15.3,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Apple MacBook Air,laptop,lightweight_laptop,Apple,238000,Apple M5,M Series,24,1TB SSD,Apple 10-core GPU,Shared,15.3,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Apple MacBook Air,laptop,lightweight_laptop,Apple,185000,Apple M3,M Series,16,1TB SSD,Apple 10-Core GPU,Shared,13.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Apple MacBook Neo,laptop,laptop,Apple,99900,Apple A18,A Series,8,512GB SSD,Apple 5-core GPU,Shared,13.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Apple MacBook Pro,laptop,laptop,Apple,248000,Apple M5,M Series,16,1TB SSD,Apple 10-core GPU,Shared,14.2,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Apple MacBook Pro,laptop,laptop,Apple,292000,Apple M5,M Series,32,1TB SSD,Apple 10-Core GPU,Shared,14.2,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Apple MacBook Pro,laptop,laptop,Apple,306000,Apple M5,M Series,24,1TB SSD,Apple 16-Core GPU,Shared,14.2,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Apple MacBook Pro,laptop,laptop,Apple,360000,Apple M5,M Series,24,2TB SSD,Apple 16-Core GPU,Shared,14.2,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Apple MacBook Pro,laptop,laptop,Apple,387000,Apple M5,M Series,24,2TB SSD,Apple 20-Core GPU,Shared,14.2,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Apple MacBook Pro,laptop,laptop,Apple,410000,Apple M5,M Series,48,1TB SSD,Apple 20-Core GPU,Shared,14.2,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Apple MacBook Pro,laptop,laptop,Apple,427000,Apple M5,M Series,48,1TB SSD,Apple 20-Core GPU,Shared,16.2,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Apple MacBook Pro,laptop,laptop,Apple,460000,Apple M5,M Series,48,1TB SSD,Apple 20-Core GPU,Shared,16.2,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Apple MacBook Pro,laptop,laptop,Apple,495000,Apple M5,M Series,36,2TB SSD,Apple 32-Core GPU,Shared,14.2,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Apple MacBook Pro,laptop,laptop,Apple,221000,Apple M5,M Series,16,512GB SSD,Apple 10-core GPU,Shared,14.2,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Apple MacBook Pro,laptop,laptop,Apple,272000,Apple M5,M Series,24,1TB SSD,Apple 10-Core GPU,Shared,14.2,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Apple MacBook Pro,laptop,laptop,Apple,350000,Apple M2,M Series,32,1TB SSD,Apple 30-core GPU,Shared,14.2,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS ExpertBook B1 B1403CVA Series 1,laptop,laptop,Asus,87000,Core 5,Core Series 1,8,512GB SSD,Intel Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus ExpertBook B3 B3405CCA Series 2,laptop,laptop,Asus,115000,Core Ultra 7,Ultra,8,512GB SSD,Intel Arc 140T Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS ExpertBook B5 B5302CEA,laptop,laptop,Asus,82500,Core i5,11th (Intel),8,512GB SSD,Intel Iris Xe Graphics,Shared,13.3,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS ProArt StudioBook 16 H5600QM,laptop,laptop,Asus,232000,Ryzen 7,Ryzen,16,1TB SSD,Nvidia RTX 3060 Graphics,6GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS ProArt StudioBook 16 H5600QM,laptop,laptop,Asus,258000,Ryzen 9,Ryzen,32,1TB SSD,Nvidia RTX 3060 Graphics,6GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS ProArt StudioBook 16 H5600QR,laptop,laptop,Asus,298000,Ryzen 9,Ryzen,32,1TB SSD,Nvidia RTX 3070 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS ROG Strix G16 G614JU,laptop,laptop,Asus,170000,Core i5,13th (Intel),16,512GB SSD,Nvidia RTX 4050 Graphics,6GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus ROG Strix G16 G614PH,laptop,laptop,Asus,240000,Ryzen 9,Ryzen,16,512GB SSD,Nvidia RTX 5050 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus ROG Strix G16 G614PP,laptop,laptop,Asus,302000,Ryzen 9,Ryzen,16,1TB SSD,Nvidia RTX 5070 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus ROG Strix G16 G614PP,laptop,laptop,Asus,332000,Ryzen 9,Ryzen,32,1TB SSD,Nvidia RTX 5070 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS ROG Strix G16 G615LP,laptop,laptop,Asus,377000,Core Ultra 9,Ultra,32,1TB SSD,Nvidia RTX 5070 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS ROG Strix SCAR 18 G835LX Series 2,laptop,laptop,Asus,649990,Core Ultra 9,Ultra,64,1TB SSD,Nvidia RTX 5090 Graphics,24GB,18.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus ROG Zephyrus G14 GA403WP,laptop,laptop,Asus,428000,Ryzen AI 9,Ryzen,32,2TB SSD,Nvidia RTX 5070 Graphics,8GB,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus ROG Zephyrus G16 GU605CR Series 2,laptop,laptop,Asus,490000,Core Ultra 9,Ultra,32,1TB SSD,Nvidia RTX 5070 Ti Graphics,12GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS TUF Gaming A14 FA401UH,laptop,laptop,Asus,192000,Ryzen 7,Ryzen,16,512GB SSD,Nvidia RTX 5050 Graphics,8GB,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS TUF Gaming A15 FA506NCG,laptop,laptop,Asus,119000,Ryzen 7,Ryzen,8,512GB SSD,Nvidia RTX 3050 Graphics,4GB,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus TUF Gaming A15 FA506NCQ,laptop,laptop,Asus,124000,Ryzen 7,Ryzen,16,512GB SSD,Nvidia RTX 3050 Graphics,4GB,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS TUF Gaming A16 FA607NUG,laptop,laptop,Asus,154000,Ryzen 7,Ryzen,16,1TB SSD,Nvidia RTX 4050 Graphics,6GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS TUF Gaming A16 FA607NUQ,laptop,laptop,Asus,159000,Ryzen 7,Ryzen,16,512GB SSD,Nvidia RTX 4050 Graphics,6GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS TUF Gaming A16 FA608UH,laptop,laptop,Asus,205000,Ryzen 7,Ryzen,16,512GB SSD,Nvidia RTX 5050 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS TUF Gaming A16 FA608UM,laptop,laptop,Asus,192000,Ryzen 7,Ryzen,16,512GB SSD,Nvidia RTX 5060 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS TUF Gaming F16 FX607VB Series 2,laptop,laptop,Asus,115900,Core 5,Core Series 2,8,512GB SSD,Nvidia RTX 3050A Graphics,4GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS TUF Gaming F16 FX608JH,laptop,laptop,Asus,170000,Core i5,13th (Intel),16,512GB SSD,Nvidia RTX 5050 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus TUF Gaming F16 FX608JHI,laptop,laptop,Asus,220000,Core i7,14th (Intel),16,1TB SSD,Nvidia RTX 5050 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus TUF Gaming F16 FX608JMI,laptop,laptop,Asus,252000,Core i7,14th (Intel),16,1TB SSD,Nvidia RTX 5060 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS TUF Gaming F16 FX608JMR,laptop,laptop,Asus,252000,Core i7,14th (Intel),16,1TB SSD,Nvidia RTX 5060 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus TUF Gaming F16 FX608JPR,laptop,laptop,Asus,313000,Core i7,14th (Intel),32,1TB SSD,Nvidia RTX 5070 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus TUF Gaming F16 FX608JPR,laptop,laptop,Asus,282000,Core i7,14th (Intel),16,1TB SSD,Nvidia RTX 5070 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus V16 V3607VH Series 2,laptop,laptop,Asus,144000,Core 5,Core Series 2,16,1TB SSD,Nvidia RTX 5050 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus V16 V3607VH Series 2,laptop,laptop,Asus,184000,Core 7,Core Series 2,16,512GB SSD,Nvidia RTX 5050 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus VivoBook 14,laptop,laptop,Asus,112000,Ryzen AI 5,Ryzen,16,512GB SSD,AMD Radeon 820M Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus VivoBook 14 A1404VA Series 1,laptop,laptop,Asus,84900,Core 5,Core Series 1,16,512GB SSD,Intel Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus VivoBook 14 F1407CA Series 2,laptop,laptop,Asus,108000,Core Ultra 5,Ultra,16,512GB SSD,Intel Arc 130V Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus VivoBook 14 F1407CA Series 2,laptop,laptop,Asus,112000,Core Ultra 5,Ultra,16,1TB SSD,Intel Arc 130T Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS VivoBook 14 F1407CA Series 2,laptop,laptop,Asus,112000,Core Ultra 5,Ultra,16,1TB SSD,Intel Arc 130T Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS VivoBook 14 F1407QA,laptop,laptop,Asus,98000,Snapdragon X,Snapdragon X Series,16,1TB SSD,Qualcomm Adreno Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus VivoBook 14 M1407KA,laptop,laptop,Asus,112000,Ryzen AI 5,Ryzen,16,512GB SSD,AMD Radeon 820M Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS VivoBook 14 X1404VA Series 1,laptop,laptop,Asus,84900,Core 5,Core Series 1,8,512GB SSD,Intel Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus VivoBook 15 A1504VA Series 1,laptop,laptop,Asus,65800,Core 3,Core Series 1,8,512GB SSD,Intel Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus VivoBook 15 A1504VA Series 1,laptop,laptop,Asus,112000,Core 7,Core Series 1,16,512GB SSD,Intel Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus VivoBook 15 A1504VA Series 1,laptop,laptop,Asus,84900,Core 5,Core Series 1,16,512GB,Intel Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus VivoBook 15 A1504VA Series 1,laptop,laptop,Asus,84900,Core 5,Core Series 1,16,512GB SSD,Intel Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS VivoBook 15 X1504VA,laptop,laptop,Asus,80000,Core 5,Core Series 1,8,512GB SSD,Intel Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS Vivobook 15 X1504VA,laptop,laptop,Asus,99500,Core i7,13th (Intel),16,512GB SSD,Intel Iris Xe Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS VivoBook 15 X1504VA,laptop,laptop,Asus,96500,Core i7,13th (Intel),16,512GB SSD,Intel Iris Xe Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus VivoBook 16 F1607CA Series 2,laptop,laptop,Asus,112000,Core Ultra 5,Ultra,16,1TB SSD,Intel Arc 130T Graphics,Shared,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus VivoBook 16 F1607CA Series 2,laptop,laptop,Asus,108000,Core Ultra 5,Ultra,16,512GB SSD,Intel Iris Xe Graphics,Shared,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus VivoBook 16 M1607GA,laptop,laptop,Asus,129000,Ryzen AI 7,Ryzen,16,512GB SSD,AMD Radeon 840M Graphics,Shared,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus VivoBook 16X K3605VC,laptop,laptop,Asus,103000,Core i5,13th (Intel),8,512GB SSD,Nvidia RTX 3050 Graphics,4GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS VivoBook Go 14 L1404FA,laptop,laptop,Asus,79000,Ryzen 5,Ryzen,16,512GB SSD,AMD Radeon 610M Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus VivoBook Go 14 L1404FA,laptop,laptop,Asus,79000,Ryzen 5,Ryzen,16,512GB SSD,AMD Radeon 610M Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus Vivobook Go 15 E1504TA,laptop,laptop,Asus,60800,Core N150,12th Standard (Intel),8,512GB SSD,Intel Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS VivoBook Go 15 L1504FA,laptop,laptop,Asus,59500,Ryzen 5,Ryzen,8,512GB SSD,AMD Radeon 610M Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS VivoBook Go 15 L1504FA,laptop,laptop,Asus,79000,Ryzen 5,Ryzen,16,512GB SSD,AMD Radeon 610M Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS VivoBook Pro 15 K3500PA,laptop,laptop,Asus,93000,Core i7,11th (Intel),8,512GB SSD,Intel Iris Xe Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS VivoBook S 16 OLED M5606KA,laptop,laptop,Asus,160000,Ryzen AI 5,Ryzen,16,512GB SSD,AMD Radeon 840M Graphics,Shared,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS VivoBook S14 M3407HA,laptop,laptop,Asus,109000,Ryzen 5,Ryzen,16,1TB SSD,AMD Radeon 740M Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS VivoBook S14 M3407HA,laptop,laptop,Asus,124000,Ryzen 7,Ryzen,16,1TB SSD,AMD Radeon 780M Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS VivoBook S14 S3407CA,laptop,laptop,Asus,144500,Core Ultra 7,Ultra,16,1TB SSD,Intel Arc 140T Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus VivoBook S14 S3407VA Series 2,laptop,laptop,Asus,119000,Core 5,Core Series 2,16,512GB SSD,Intel Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus VivoBook S14 S3407VA Series 2,laptop,laptop,Asus,124000,Core 5,Core Series 2,16,1TB SSD,Intel Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS VivoBook S15 S513EA,laptop,laptop,Asus,76500,Core i5,11th (Intel),16,512GB SSD,Intel Iris Xe Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS VivoBook S15 S5507QA,laptop,laptop,Asus,170000,Snapdragon X Elite,Snapdragon X Series,16,512GB SSD,Qualcomm Adreno Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS X515EA,laptop,laptop,Asus,51900,Core i3,11th (Intel),4,1TB HDD,Intel UHD Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus ZenBook 14 UM3406GA,laptop,lightweight_laptop,Asus,153000,Ryzen AI 5,Ryzen,16,512GB SSD,AMD Radeon 840M Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus ZenBook 14 UX3405CA Series 2,laptop,lightweight_laptop,Asus,180000,Core Ultra 7,Ultra,16,512GB SSD,Intel Arc 140T Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS ZenBook Pro Duo 14 OLED UX8402ZE,laptop,lightweight_laptop,Asus,250000,Core i7,12th (Intel),16,512GB SSD,Nvidia RTX 3050 Ti Graphics,4GB,14.5,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
ASUS ZenBook S 14 OLED UX5406SA Series 2,laptop,lightweight_laptop,Asus,216000,Core Ultra 7,Ultra,16,1TB SSD,Intel Arc Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Asus Zenbook S 16 UM5606GA,laptop,lightweight_laptop,Asus,256000,Ryzen AI 7,Ryzen,32,1TB SSD,AMD Radeon 840M Graphics,Shared,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
CHUWI GemiBook Xpro,laptop,laptop,Unknown,34900,Core N100,12th Standard (Intel),8,256GB SSD,Intel UHD Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Dell 15 DC15250,laptop,laptop,Dell,97500,Core i7,13th (Intel),16,512GB SSD,Intel Iris Xe Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Dell 15 DC15250,laptop,laptop,Dell,74500,Core i5,13th (Intel),8,512GB,Intel Iris Xe Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Dell 15 DC15250 Series 1,laptop,laptop,Dell,59000,Core 3,Core Series 1,8,512GB SSD,Intel Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Dell Inspiron 14 5440 Series 1,laptop,laptop,Dell,117500,Core 7,Core Series 1,16,512GB SSD,Intel Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Dell Inspiron 15 3530,laptop,laptop,Dell,96900,Core i7,13th (Intel),16,512GB SSD,Intel Iris Xe Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Dell Latitude 14 3440,laptop,laptop,Dell,85500,Core i5,12th (Intel),8,512GB SSD,Intel Iris Xe Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Dell Latitude 14 3440,laptop,laptop,Dell,86500,Core i5,12th (Intel),8,512GB SSD,Intel Iris Xe Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Dell Latitude 14 5450 Series 1,laptop,laptop,Dell,129500,Core Ultra 5,Ultra,8,512GB SSD,Intel Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Dell Pro 14 PC14250 Series 2,laptop,laptop,Dell,97500,Core Ultra 5,Ultra,8,512GB SSD,Intel Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Gigabyte AERO X16 1TH,laptop,laptop,Gigabyte,185000,Ryzen AI 7,Ryzen,16,1TB SSD,Nvidia RTX 5050 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Gigabyte AERO X16 1VH,laptop,laptop,Gigabyte,185000,Ryzen AI 7,Ryzen,16,1TB SSD,Nvidia RTX 5060 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Gigabyte Gaming A16 CMH,laptop,laptop,Gigabyte,144000,Core i7,13th (Intel),16,1TB SSD,Nvidia RTX 4050 Graphics,6GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Gigabyte Gaming A16 CMH,laptop,laptop,Gigabyte,189000,Core i7,13th (Intel),16,1TB SSD,Nvidia RTX 5070 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Gigabyte Gaming G6 MF,laptop,laptop,Gigabyte,132000,Core i7,13th (Intel),16,512GB SSD,Nvidia RTX 4050 Graphics,6GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Gigabyte Gaming G6 MF,laptop,laptop,Gigabyte,134000,Core i7,13th (Intel),16,512GB SSD,Nvidia RTX 4050 Graphics,6GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
HP 14-ep0134TU,laptop,laptop,HP,98500,Core i7,13th (Intel),16,512GB SSD,Intel Iris Xe Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
HP 14-ep0408TU,laptop,laptop,HP,84900,Core i5,13th (Intel),16,512GB SSD,Intel Iris Xe Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
HP 14-ep0426TU,laptop,laptop,HP,80500,Core i5,13th (Intel),8,512GB SSD,Intel Iris Xe Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
HP 15-fc0355AU,laptop,laptop,HP,50000,AMD Athlon,,8,512GB SSD,AMD Radeon 610M Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
HP 15-fc0621AU,laptop,laptop,HP,50000,AMD Athlon,Athlon Series,8,512GB SSD,AMD Radeon 610M Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
HP 15-fd0807TU,laptop,laptop,HP,65990,Core i3,13th (Intel),8,512GB SSD,Intel UHD Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
HP 15-fd0808TU Core i3 1315U,laptop,laptop,HP,65990,Core i3,13th (Intel),8,512GB SSD,Intel UHD Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
HP 15-fd0811TU,laptop,laptop,HP,79500,Core i5,13th (Intel),8,512GB SSD,Intel Iris Xe Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
HP 15-fd0812TU,laptop,laptop,HP,79500,Core i5,13th (Intel),8,512GB SSD,Intel Iris Xe Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
HP 15-fd0841TU,laptop,laptop,HP,64990,Core i3,13th (Intel),8,512GB SSD,Intel UHD Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
HP 15-fr0077TU,laptop,laptop,HP,88800,Core i5,13th (Intel),16,512GB SSD,Intel UHD Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Hp EliteBook 640 G11 Series 1,laptop,laptop,HP,106000,Core Ultra 5,Ultra,8,512GB SSD,Intel Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
HP Elitebook 840 G11 Series 1,laptop,laptop,HP,145000,Core Ultra 5,Ultra,16,512GB SSD,Intel Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
HP Elitebook 840 G11 Series 1,laptop,laptop,HP,175000,Core Ultra 7,Ultra,16,512GB SSD,Intel Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
HP OMEN Gaming 16-am0333TX,laptop,laptop,HP,336000,Core i9,14th (Intel),32,1TB SSD,Nvidia RTX 5070 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
HP OmniBook 5 Flip x360 2-in-1 14-fp0134TU,laptop,laptop,HP,154000,Core 7,Core Series 1,24,1TB SSD,Intel Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
HP OmniBook 5 Flip x360 2-in-1 14-fp0136TU,laptop,laptop,HP,107900,Core i5,13th (Intel),16,1TB SSD,Intel Iris Xe Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
